iter	Passed	Remaining
304	1010	2302
305	1013	2299
306	1017	2296
307	1020	2293
308	1024	2290
309	1027	2287
310	1030	2284
311	1034	2280
312	1037	2278
313	1041	2274
314	1044	2271
315	1046	2264
316	1049	2261
317	1053	2258
318	1056	2255
319	1060	2253
320	1064	2251
321	1068	2249
322	1072	2247
323	1075	2244
324	1079	2241
325	1082	2238
326	1086	2235
327	1089	2231
328	1092	2227
329	1095	2224
330	1098	2220
331	1102	2217
332	1105	2213
333	1108	2209
334	1111	2205
335	1114	2202
336	1118	2199
337	1121	2195
338	1124	2192
339	1127	2188
340	1130	2185
341	1135	2184
342	1139	2181
343	1144	2183
344	1148	2180
345	1152	2177
346	1155	2174
347	1158	2171
348	1162	2168
349	1165	2164
350	1168	2161
351	1172	2157
352	1175	2154
353	1179	2151
354	1183	2150
355	1187	2147
356	1190	2145
357	1194	2141
358	1197	2138
359	1201	2135
360	1204	2132
361	1208	2129
362	1211	2126
363	1214	2122
364	1217	2118
365	1220	2114
366	1223	2110
367	1227	2107
368	1230	2103
369	1233	2100
370	1236	2096
371	1239	2092
372	1242	2088
373	1245	2085
374	1248	2081
375	1251	2077
376	1255	2074
377	1258	2070
378	1261	2066
379	1264	2063
380	1267	2059
381	1271	2056
382	1274	2052
383	1277	2048
384	1280	2045
385	1283	2041
386	1286	2037
387	1289	2033
388	1292	2029
389	1295	2026
390	1299	2023
391	1301	2019
392	1305	2015
393	1308	2012
394	1311	2008
395	1314	2004
396	1317	2000
397	1320	1996
398	1330	2004
399	1333	2000
400	1336	1996
401	1339	1992
402	1342	1988
403	1345	1985
404	1349	1981
405	1352	1978
406	1355	1974
407	1358	1971
408	1362	1968
409	1365	1964
410	1368	1961
411	1371	1958
412	1375	1954
413	1378	1951
414	1381	1947
415	1384	1943
416	1387	1939
417	1390	1936
418	1394	1933
419	1397	1929
420	1400	1925
421	1403	1922
422	1406	1919
423	1411	1917
424	1414	1913
425	1417	1909
426	1420	1905
427	1423	1902
428	1428	1900
429	1431	1897
430	1434	1893
431	1437	1890
432	1440	1886
433	1442	1881
434	1446	1878
435	1449	1874
436	1452	1870
437	1455	1867
438	1458	1864
439	1462	1861
440	1465	1857
441	1468	1853
442	1472	1850
443	1475	1848
444	1479	1844
445	1482	1841
446	1485	1837
447	1488	1833
448	1491	1830
449	1494	1827
450	1497	1823
451	1501	1820
452	1504	1816
453	1507	1813
454454	1527	18455455	1530	18456456	1534	18457457	1537	18458458	1541	18459	1528	1794
460460	1549	18461461	1552	18462462	1556	18463	1543	1783
464	1547	1780
465	1551	1777
466	1554	1774
467	1558	1771
468	1561	1767
469	1565	1765
470	1568	1762
471	1572	1759
472	1576	1756
473	1579	1753
474	1582	1749
475	1588	1748
476	1592	1745
477	1595	1742
478	1599	1739
479	1603	1737
480	1606	1733
481	1610	1730
482	1613	1727
483	1616	1723
484	1619	1719
485	1622	1716
486	1625	1712
487	1629	1709
488	1632	1705
489	1635	1702
490	1638	1698
491	1641	1695
492	1644	1691
493	1647	1687
494	1651	1684
495	1654	1680
496	1657	1677
497	1660	1674
498	1663	1670
499	1667	1667
500	1670	1663
501	1673	1660
502	1676	1656
503	1679	1652
504	1682	1649
505	1687	1647
506	1690	1643
507	1693	1639
508	1696	1636
509	1699	1632
510	1703	1629
511	1706	1626
512	1709	1622
513	1712	1619
514	1715	1615
515	1718	1612
516	1722	1608
517	1725	1605
518	1728	1601
519	1731	1598
520	1735	1595
521	1738	1591
522	1741	1588
523	1744	1584
524	1747	1581
525	1751	1578
526	1754	1574
527	1757	1571
528	1760	1567
529	1763	1563
530	1767	1560
531	1770	1557
532	1773	1553
533	1776	1550
534	1779	1546
535	1782	1543
536	1785	1539
537	1788	1536
538	1792	1532
539	1795	1529
540540	1816	15541541	1819	15542542	1823	15543543	1826	15544544	1830	15545545	1833	15546546	1837	15547	1823	1503
548	1826	1500
549	1829	1497
550550	1850	15551551	1853	15552552	1856	15553553	1860	14554554	1864	14555555	1869	14556556	1872	14557557	1876	14558558	1881	1484
559	1884	14560560	1887	14561561	1890	14562562	1893	14563	1880	1453
564	1884	1450
565	1887	1447
566	1892	1445
567	1896	1442
568	1899	1439
569	1903	1435
570	1906	1432
571	1909	1429
572	1913	1426
573	1917	1422
574	1919	1418
575	1922	1415
576	1925	1411
577	1929	1408
578	1932	1405
579	1936	1402
580	1939	1398
581	1942	1395
582	1946	1392
583	1949	1388
584	1952	1385
585	1955	1381
586	1959	1378
587	1963	1375
588	1966	1372
589	1970	1369
590	1973	1365
591	1976	1362
592	1980	1358
593	1983	1355
594	1986	1352
595	1989	1348
596	1993	1345
597	1996	1342
598	1999	1338
599	2003	1335
600	2006	1332
601	2009	1328
602	2013	1325
603	2017	1322
604	2020	1319
605	2024	1316
606	2028	1313
607	2031	1310
608	2035	1306
609	2038	1303
610	2042	1300
611	2046	1297
612	2049	1294
613	2052	1290
614	2056	1287
615	2060	1284
616	2064	1281
617	2067	1277
618	2070	1274
619	2075	1272
620	2078	1268
621	2082	1265
622	2085	1262
623	2089	1259
624	2093	1255
625	2096	1252
626	2100	1249
627	2104	1246
628	2107	1243
629	2110	1239
630	2113	1235
631	2116	1232
632	2119	1228
633	2123	1226
634	2127	1223
635	2131	1219
636	2134	1216
637	2137	1212
638	2141	1209
639	2144	1206
640	2147	1202
641	2150	1199
642	2153	1195
643	2157	1192
644	2160	1189
645	2163	1185
646	2166	1182
647	2169	1178
648	2173	1175
649	2176	1172
650	2180	1168
651	2183	1165
652	2187	1162
653	2190	1158
654	2193	1155
655	2198	1152
656	2201	1149
657	2204	1146
658	2208	1142
659	2211	1139
660	2214	1135
661	2217	1132
662	2220	1128
663	2224	1125
664	2227	1122
665	2230	1118
666	2234	1115
667	2238	1112
668	2241	1109
669	2244	1105
670	2247	1102
671	2251	1098
672	2254	1095
673	2258	1092
674	2261	1088
675	2264	1085
676	2266	1081
677	2270	1078
678	2273	1074
679	2276	1071
680	2279	1067
681	2282	1064
682	2286	1061
683	2289	1057
684	2292	1054
685	2294	1050
686	2298	1047
687	2301	1043
688	2304	1040
689	2308	1037
690	2311	1033
691	2314	1030
692	2318	1026
693	2321	1023
694	2325	1020
695	2328	1017
696	2332	1013
697	2335	1010
698	2338	1007
699	2341	1003
700	2343	999
701	701	2372	1007
702	2375	1003
703	2378	1000
704	2381	996
705	2385	993
706	2389	990
707	2392	986
708	2395	983
709	2397	979
710	2401	976
711	2405	972
712	2407	969
713	2410	965
714	2413	962
715	2417	958
716	2420	955
717	2423	952
718	2427	948
719	2430	945
720	2434	942
721	2437	938
722	2440	934
723	2443	931
724	2446	927
725	2450	924
726	2453	921
727	2456	917
728	2459	914
729	2463	911
730	2466	907
731	2470	904
732	2474	901
733	2477	897
734	2481	894
735	2484	891
736	2487	887
737	2491	884
738	2494	881
739	2498	877
740	2501	874
741	2504	870
742	2508	867
743	2511	864
744	2515	860
745	2518	857
746	2521	854
747	2525	850
748	2529	847
749	2532	844
750	2535	840
751	2538	837
752	2542	833
753	2545	830
754	2548	826
755	2551	823
756	2554	820
757	2557	816
758	2561	813
759	2564	809
760	2567	806
761	2570	802
762	2574	799
763	2577	796
764	2580	792
765	2585	789
766	2588	786
767	2605	786
768	2607	783
769	2611	779
770	2614	776
771	2617	773
772	2621	769
773	2624	766
774	2627	762
775	2630	759
776	2633	755
777	2636	752
778	2639	748
779	2643	745
780	2646	742
781	2649	738
782	2653	735
783	2656	731
784	2659	728
785	2662	725
786	2666	721
787	2669	718
788	2672	714
789	2676	711
790	2679	708
791	2683	704
792	2686	701
793	2689	697
794	2692	694
795	2695	690
796	2698	687
797	2702	684
798	2705	680
799	2712	678
800	2715	674
801	2719	671
802	2722	667
803	2725	664
804	2730	661
805	2734	658
806	2738	654
807	2743	651
808	2747	648
809	2750	645
810	2753	641
811	2758	638
812	2761	635
813	2765	631
814	2768	628
815	2771	624
816	2774	621
817	2778	618
818	2781	614
819	2784	611
820	2787	607
821	2791	604
822	2794	601
823	2797	597
824	2800	594
825	2803	590
826	2807	587
827	2810	583
828	2814	580
829	2818	577
830	2822	574
831	2826	570
832	2829	567
833	2832	563
834	2835	560
835	2839	556
836	2842	553
837	2845	550
838	2848	546
839	2851	543
840	2856	539
841	2859	536
842	2862	533
843	2865	529
844	2871	526
845	2874	523
846	2877	519
847	2881	516
848	2885	513
849	2888	509
850	2892	506
851	2895	503
852	2899	499
853	2904	496
854	2907	493
855	2911	489
856	2915	486
857	2919	483
858	2922	479
859	2925	476
860	2929	472
861	2932	469
862	2937	466
863	2940	462
864	2943	459
865	2946	455
866	2949	452
867	2953	449
868	2956	445
869	2959	442
870	2962	438
871	2966	435
872	2970	432
873	2973	428
874	2977	425
875	2980	421
876	2983	418
877	2987	415
878	2991	411
879	2994	408
880	2998	404
881	3002	401
882	3005	398
883	3008	394
884	3011	391
885	3015	387
886	3018	384
887	3021	381
888	3025	377
889	3028	374
890	3031	370
891	3035	367
892	3038	364
893	3041	360
894	3044	357
895	3047	353
896	3051	350
897	3054	346
898	3057	343
899	3060	340
900	3062	336
901	3066	333
902	3069	329
903	3072	326
904	3075	322
905	3078	319
906	3081	316
907	3085	312
908	3088	309
909	3093	305
910	3095	302
911	3100	299
912	3103	295
913	3107	292
914	3110	288
915	3113	285
916	3118	282
917	3121	278
918	3124	275
919	3128	272
920	3132	268
921	3136	265
922	3139	261
923	3143	258
924	3146	255
925	3150	251
926	3153	248
927	3156	244
928	3159	241
929	3163	238
930	3166	234
931	3169	231
932	3172	227
933	3175	224
934	3179	221
935	3182	217
936	3185	214
937	3188	210
938	3191	207
939	3195	203
940	3199	200
941	3202	197
942	3205	193
943	3209	190
944	3224	187
945	3229	184
946	3233	180
947	3235	177
948	3238	174
949	3242	170
950	3245	167
951	3248	163
952	3251	160
953	3255	156
954	3258	153
955	3263	150
956	3266	146
957	3269	143
958	3272	139
959	3274	136
960	3278	133
961	3281	129
962	3284	126
963	3287	122
964	3290	119
965	3294	115
966	3297	112
967	3300	109
968	3304	105
969	3307	102
970	3310	98
971	3313	95
972	3317	92
973	3320	88
974	3323	85
975	3327	81
976	3330	78
977	3333	74
978	3336	71
979	3339	68
980	3342	64
981	3345	61
982	3348	57
983	3351	54
984	3353	51
985	3356	47
986	3360	44
987	3363	40
988	3366	37
989	3369	34
990	3373	30
991	3376	27
992	3379	23
993	3382	20
994	3386	17
995	3389	13
996	3392	10
997	3395	6
998	3399	3
999	3402	0
